provider,provider_code,provider_name,provider_post,provider_mun,canonical_pcode,canonical_name,subdstcode,distcode,distname,subdistrct,region,status,score,note
intl2024,040504,Letemumo,Quelicai,Baucau,30303,Letemuno,303,3,Baucau,Quelicai,1,matched,0.88,
intl2024,040605,Uaitame,Quelicai Antigo,Baucau,30304,Waitame,308,3,Baucau,Quelicai Antigo,1,matched,1.00,
intl2024,040505,Macalaco,Quelicai,Baucau,30305,Macalaco,303,3,Baucau,Quelicai,1,matched,1.00,
intl2024,040502,Bualale,Quelicai,Baucau,30306,Bualale,303,3,Baucau,Quelicai,1,matched,1.00,
intl2024,040404,Lelalai,Matebian,Baucau,30307,Lelalai,307,3,Baucau,Matebian,1,matched,1.00,
intl2024,040401,Abo,Matebian,Baucau,30308,Abo,307,3,Baucau,Matebian,1,matched,1.00,
intl2024,040603,Guruçà,Quelicai Antigo,Baucau,30309,Guruca,308,3,Baucau,Quelicai Antigo,1,matched,1.00,
intl2024,040602,Afaçà,Quelicai Antigo,Baucau,30310,Afaca,308,3,Baucau,Quelicai Antigo,1,matched,1.00,
intl2024,040403,Laisorolai De Cima,Matebian,Baucau,30311,Laisorolai de Cima,307,3,Baucau,Matebian,1,matched,1.00,
intl2024,040402,Laisorolai De Baixo,Matebian,Baucau,30312,Laisorolai de Baixo,307,3,Baucau,Matebian,1,matched,1.00,
intl2024,040405,Maluro,Matebian,Baucau,30313,Maluro,307,3,Baucau,Matebian,1,matched,1.00,
intl2024,040604,Namanei,Quelicai Antigo,Baucau,30314,Namanei,308,3,Baucau,Quelicai Antigo,1,matched,1.00,
intl2024,040601,Abafala,Quelicai Antigo,Baucau,30315,Abafala,308,3,Baucau,Quelicai Antigo,1,matched,1.00,
intl2024,040101,Afaloicai,Baguia,Baucau,30401,Afaloicai,304,3,Baucau,Baguia,1,matched,1.00,
intl2024,040102,Alawa Craik,Baguia,Baucau,30402,Alaua Craic,304,3,Baucau,Baguia,1,matched,1.00,
intl2024,040103,Alawa Leten,Baguia,Baucau,30403,Alaua Leten,304,3,Baucau,Baguia,1,matched,1.00,
intl2024,040105,Hae Coni,Baguia,Baucau,30404,Haeconi,304,3,Baucau,Baguia,1,matched,1.00,
intl2024,040108,Osso Huna,Baguia,Baucau,30405,Osso-Huna,304,3,Baucau,Baguia,1,matched,1.00,
intl2024,040106,Larisula,Baguia,Baucau,30406,Lari Sula,304,3,Baucau,Baguia,1,matched,1.00,
intl2024,040109,Samalari,Baguia,Baucau,30407,Samalari,304,3,Baucau,Baguia,1,matched,1.00,name~Samalari(1.00); geom-paired
intl2024,040104,Defawasi,Baguia,Baucau,30408,Defa Uassi,304,3,Baucau,Baguia,1,matched,1.00,
intl2024,040107,Lavateri,Baguia,Baucau,30409,Lavateri,304,3,Baucau,Baguia,1,matched,1.00,
intl2024,040110,Uacala,Baguia,Baucau,30410,Uacala,304,3,Baucau,Baguia,1,matched,1.00,
intl2024,040707,Vemasse,Vemasse,Baucau,30501,Vemase,305,3,Baucau,Vemase,1,matched,1.00,
intl2024,040704,Ostico,Vemasse,Baucau,30502,Ostico,305,3,Baucau,Vemase,1,matched,1.00,
intl2024,040703,Ossouala,Vemasse,Baucau,30503,Ossoala,305,3,Baucau,Vemase,1,matched,1.00,
intl2024,040702,Loilubo,Vemasse,Baucau,30504,Loilubo,305,3,Baucau,Vemase,1,matched,1.00,
intl2024,040705,Uaigae,Vemasse,Baucau,30505,Uaigae,305,3,Baucau,Vemase,1,matched,1.00,
intl2024,040706,Uato-Lari,Vemasse,Baucau,30506,Uatu-Lari,305,3,Baucau,Vemase,1,matched,1.00,
intl2024,040701,Caicua,Vemasse,Baucau,30507,Caicua,305,3,Baucau,Vemase,1,matched,1.00,
intl2024,040801,Bado-Ho'o,Venilale,Baucau,30601,Bado Ho'o,306,3,Baucau,Venilale,1,matched,1.00,
intl2024,040802,Baha Mori,Venilale,Baucau,30602,Baha Mori,306,3,Baucau,Venilale,1,matched,1.00,
